Counrty,TII,UI,IDT,DCT(p),CT(p),TF,BD,AI,IoT,AR,3Dp,VCB,CC,5g
Afghanistan,0.1138,0,0,0,8,0,0,0,0,0,0,0,0,0
Albania,0.4318,0,0,0,0,0,0,0,0,0,0,0,0,45.1
Algeria,0.3889,59.6,0,0,0,0,0,18,21,0,0,0,0,0
Andorra,0.722,91.6,0,1,0,0,0,0,0,0,0,0,0,0
Angola,0.0972,21.4,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0.5617,0,0,3,3,0,0,0,0,0,0,0,0,0
Argentina,0.5927,74.3,0,0,2,57,4.310344828,24,27,0,0,5.76,10.8,0
Armenia,0.466,64.7,0,0,1,17,0,0,0,0,0,0,0,0
Australia,0.7436,86.5,0,70,159,31,5.3125,37.5,45,167,0,0,16.1,0
Austria,0.7716,87.7,0.381583,0,141,0,4.703296703,27.1,54,0,52.625,7.82,11,61.6
Azerbaijan,0.5062,79.8,0,0,8,0,0,0,0,0,0,0,0,51.5
Bahamas,0.5393,0,0,1,0,0,0,0,0,0,0,0,0,0
Bahrain,0.8466,98.6,0,1,1,0,0,18,27,0,0,0,0,0
Bangladesh,0.1976,0,0,0,0,0,0,21,21,0,0,0,0,0
Barbados,0.6719,0,0,169,75,0,0,0,0,0,0,0,0,0
Belarus,0.6881,79.1,0,8,24,0,0,21,27,0,0,6.49,0,0
Belgium,0.693,88.7,0.621091,67,198,26,5.014925373,28.495,48,192,52.625,0,31,61.2
Belize,0.2247,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0.1418,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),0.3148,34.6,0,0,0,0,0,21,27,0,0,0,0,0
Bosnia and Herzegovina,0.4385,70.1,0,0,0,0,0,0,0,0,0,0,7,35.2
Botswana,0.3982,36.7,0,0,0,0,0,18,21,0,0,0,0,0
Brazil,0.522,67.5,0,7,20,47,3.690322581,17.44,30,0,0,0,11.5,0
Brunei Darussalam,0.6066,94.6,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0.5785,64.8,0.181274,0,9,44,4.807017544,18,24,0,0,0,6,45.6
Burkina Faso,0.1603,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0.0786,2.7,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0.3132,40,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0.179,23.2,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0.6724,0,0,1114,1001,27,5.87012987,28.445,42,161,0,6.58,17,0
Cabo Verde,0.3926,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0.0322,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0.0669,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0.5377,82.3,0,1,2,42,4.084507042,24,39,0,0,0,0,0
China,0.4735,0,0,25414,33995,32,5.939849624,38.73,39,97,62.5,5.08,12.7,93
Colombia,0.4412,62.3,0,0,2,52,4.267716535,21,33,0,0,0,0,0
Comoros,0.0871,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0.1889,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0.6343,74.1,0,1,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,0.2748,46.8,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0.6051,72.7,0.385637,1,3,41,3.536231884,18,36,0,0,0,22,46.3
Cuba,0.1455,57.1,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0.7279,84.4,0.379665,23,45,48,3.5,0,0,0,0,0,14,48.3
Czechia Republic,0.5971,80.7,0.424958,11,24,28,4.903225806,30,33,119,0,0,16,53
Democratic People's Republic of Korea,0.0327,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,0.0645,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0.7978,97.6,0.612884,49,96,8,5.826086957,29.81,66,230,62.625,6.92,41,67.8
Djibouti,0.0961,55.7,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0.4775,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0.3655,74.8,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0.3699,54.1,0,0,1,0,0,21,30,0,0,0,0,0
Egypt,0.3222,46.9,0,0,1,0,0,21,21,0,0,0,0,0
